Query	Top Result	Relevance	Error
식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?	"Q: 식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?
A: 자가품질검사는 영업자의 부담과 현실적 요건을 고려하여 정해진 위해규격 항목을 따릅니다. 「식품등의 자가품질 검사항목 지정」 고시에 명시되지 않은 항목에 대해서는 검사 의무가 없습니다. 그러나, 검사를 하지 않는 항목도 식품의 기준 및 규격에는 부합해야 합니다."	true	
식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?	"Q: 식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?
A: 자가품질검사는 영업자의 부담과 현실적 요건을 고려하여 정해진 위해규격 항목을 따릅니다. 「식품등의 자가품질 검사항목 지정」 고시에 명시되지 않은 항목에 대해서는 검사 의무가 없습니다. 그러나, 검사를 하지 않는 항목도 식품의 기준 및 규격에는 부합해야 합니다."	true	
식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?	"Q: 식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?
A: 자가품질검사는 영업자의 부담과 현실적 요건을 고려하여 정해진 위해규격 항목을 따릅니다. 「식품등의 자가품질 검사항목 지정」 고시에 명시되지 않은 항목에 대해서는 검사 의무가 없습니다. 그러나, 검사를 하지 않는 항목도 식품의 기준 및 규격에는 부합해야 합니다."	true	
판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?	"Q: 판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
A: 자가품질검사는 판매 목적의 제조·가공 품목에 한해 요구되며, 이는 판매 외에도 불특정 다수에게 제공하는 경우를 포함합니다. 따라서 증정용이나 이벤트 행사용 제품 역시 자가품질검사를 실시해야 합니다"	true	
판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?	"Q: 판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
A: 자가품질검사는 판매 목적의 제조·가공 품목에 한해 요구되며, 이는 판매 외에도 불특정 다수에게 제공하는 경우를 포함합니다. 따라서 증정용이나 이벤트 행사용 제품 역시 자가품질검사를 실시해야 합니다"	true	
판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?	"Q: 판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
A: 자가품질검사는 판매 목적의 제조·가공 품목에 한해 요구되며, 이는 판매 외에도 불특정 다수에게 제공하는 경우를 포함합니다. 따라서 증정용이나 이벤트 행사용 제품 역시 자가품질검사를 실시해야 합니다"	true	
판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?	"Q: 판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
A: 자가품질검사는 판매 목적의 제조·가공 품목에 한해 요구되며, 이는 판매 외에도 불특정 다수에게 제공하는 경우를 포함합니다. 따라서 증정용이나 이벤트 행사용 제품 역시 자가품질검사를 실시해야 합니다"	true	
즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?	"Q: 즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?
A: 즉석판매제조가공업에서 판매하는 모든 식품 유형이 자가품질검사 대상에 해당한다면, 한시적 영업지 여부와 관계없이 9개월마다 최소 한 번은 자가품질검사를 실시해야 합니다."	true	
즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?	"Q: 즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?
A: 즉석판매제조가공업에서 판매하는 모든 식품 유형이 자가품질검사 대상에 해당한다면, 한시적 영업지 여부와 관계없이 9개월마다 최소 한 번은 자가품질검사를 실시해야 합니다."	true	
즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?	"Q: 즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?
A: 즉석판매제조가공업에서 판매하는 모든 식품 유형이 자가품질검사 대상에 해당한다면, 한시적 영업지 여부와 관계없이 9개월마다 최소 한 번은 자가품질검사를 실시해야 합니다."	true	
즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?	"Q: 즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?
A: 즉석판매제조가공업에서 판매하는 모든 식품 유형이 자가품질검사 대상에 해당한다면, 한시적 영업지 여부와 관계없이 9개월마다 최소 한 번은 자가품질검사를 실시해야 합니다."	true	
식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?	"Q: 식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?
A: 자가품질검사는 판매 목적으로 제조되는 제품에 필요합니다. 따라서 품목제조보고된 제품이 판매용이 아니라 자사 제조 공정의 원료로만 사용된 경우, 자가품질검사 대상이 아닙니다."	true	
식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?	"Q: 식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?
A: 자가품질검사는 판매 목적으로 제조되는 제품에 필요합니다. 따라서 품목제조보고된 제품이 판매용이 아니라 자사 제조 공정의 원료로만 사용된 경우, 자가품질검사 대상이 아닙니다."	true	
식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?	"Q: 식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?
A: 자가품질검사는 판매 목적으로 제조되는 제품에 필요합니다. 따라서 품목제조보고된 제품이 판매용이 아니라 자사 제조 공정의 원료로만 사용된 경우, 자가품질검사 대상이 아닙니다."	true	
식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?	"Q: 식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?
A: 자가품질검사는 판매 목적으로 제조되는 제품에 필요합니다. 따라서 품목제조보고된 제품이 판매용이 아니라 자사 제조 공정의 원료로만 사용된 경우, 자가품질검사 대상이 아닙니다."	true	
식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?	"Q: 식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?
A: 자가품질검사는 판매 목적으로 제조되는 제품에 필요합니다. 따라서 품목제조보고된 제품이 판매용이 아니라 자사 제조 공정의 원료로만 사용된 경우, 자가품질검사 대상이 아닙니다."	true	
수출용 제품도 자가품질검사를 해야 하나요?	"Q: 수출용 제품도 자가품질검사를 해야 하나요?
A: 수출용 제품은 수출 대상국의 기준을 따르므로, 국내 자가품질검사 대상에서 제외됩니다. 하지만, 이러한 제품이 국내로 유통되지 않도록 철저히 관리해야 합니다"	true	
수출용 제품도 자가품질검사를 해야 하나요?	"Q: 수출용 제품도 자가품질검사를 해야 하나요?
A: 수출용 제품은 수출 대상국의 기준을 따르므로, 국내 자가품질검사 대상에서 제외됩니다. 하지만, 이러한 제품이 국내로 유통되지 않도록 철저히 관리해야 합니다"	true	
식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?	"Q: 식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?
A: 모든 식품첨가물 혼합제제가 동일한 검사항목을 가진 경우, 대표 품목을 선정해 검사할 수 있습니다. 그러나 원료 조합이 다른 제제는 각각 별도로 검사해야 합니다."	true	
식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?	"Q: 식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?
A: 모든 식품첨가물 혼합제제가 동일한 검사항목을 가진 경우, 대표 품목을 선정해 검사할 수 있습니다. 그러나 원료 조합이 다른 제제는 각각 별도로 검사해야 합니다."	true	
식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?	"Q: 식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?
A: 모든 식품첨가물 혼합제제가 동일한 검사항목을 가진 경우, 대표 품목을 선정해 검사할 수 있습니다. 그러나 원료 조합이 다른 제제는 각각 별도로 검사해야 합니다."	true	
식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?	"Q: 식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?
A: 모든 식품첨가물 혼합제제가 동일한 검사항목을 가진 경우, 대표 품목을 선정해 검사할 수 있습니다. 그러나 원료 조합이 다른 제제는 각각 별도로 검사해야 합니다."	true	
식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?	"Q: 식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?
A: 모든 식품첨가물 혼합제제가 동일한 검사항목을 가진 경우, 대표 품목을 선정해 검사할 수 있습니다. 그러나 원료 조합이 다른 제제는 각각 별도로 검사해야 합니다."	true	
"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "	"Q: 다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? 
A: 식품소분업자는 자가품질검사 대상에 포함되지 않아 검사 의무가 없습니다. 하지만, 소분한 제품은 반드시 ｢식품의 기준 및 규격｣을 충족해야 합니다."	true	
"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "	"Q: 다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? 
A: 식품소분업자는 자가품질검사 대상에 포함되지 않아 검사 의무가 없습니다. 하지만, 소분한 제품은 반드시 ｢식품의 기준 및 규격｣을 충족해야 합니다."	true	
"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "	"Q: 다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? 
A: 식품소분업자는 자가품질검사 대상에 포함되지 않아 검사 의무가 없습니다. 하지만, 소분한 제품은 반드시 ｢식품의 기준 및 규격｣을 충족해야 합니다."	true	
"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "	"Q: 다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? 
A: 식품소분업자는 자가품질검사 대상에 포함되지 않아 검사 의무가 없습니다. 하지만, 소분한 제품은 반드시 ｢식품의 기준 및 규격｣을 충족해야 합니다."	true	
제조 중단 후 검사 주기는 어떻게 적용되나요?	"Q: 제조 중단 후 검사 주기는 어떻게 적용되나요?
A: 검사주기가 3개월인 제품을 7월 29일 최초 검사를 실시하였다면 10월 29일에 제조･가공한 제품에 대하여 추가로 자가품질검사를 실시하여야 합니다.
다만, 10월 29일 이후(10월 29일 포함) 해당 제품의 생산이 없다면 해당 기간 동안 추가로 자가품질검사를 실시하지 않아도 되고, 10월 29일 이후 제조･가공한 첫 제품에 대하여 자가품질검사를 실시하여야 합니다.
"	true	
제조 중단 후 검사 주기는 어떻게 적용되나요?	"Q: 제조 중단 후 검사 주기는 어떻게 적용되나요?
A: 검사주기가 3개월인 제품을 7월 29일 최초 검사를 실시하였다면 10월 29일에 제조･가공한 제품에 대하여 추가로 자가품질검사를 실시하여야 합니다.
다만, 10월 29일 이후(10월 29일 포함) 해당 제품의 생산이 없다면 해당 기간 동안 추가로 자가품질검사를 실시하지 않아도 되고, 10월 29일 이후 제조･가공한 첫 제품에 대하여 자가품질검사를 실시하여야 합니다.
"	true	
제조 중단 후 검사 주기는 어떻게 적용되나요?	"Q: 제조 중단 후 검사 주기는 어떻게 적용되나요?
A: 검사주기가 3개월인 제품을 7월 29일 최초 검사를 실시하였다면 10월 29일에 제조･가공한 제품에 대하여 추가로 자가품질검사를 실시하여야 합니다.
다만, 10월 29일 이후(10월 29일 포함) 해당 제품의 생산이 없다면 해당 기간 동안 추가로 자가품질검사를 실시하지 않아도 되고, 10월 29일 이후 제조･가공한 첫 제품에 대하여 자가품질검사를 실시하여야 합니다.
"	true	
제조 중단 후 검사 주기는 어떻게 적용되나요?	"Q: 제조 중단 후 검사 주기는 어떻게 적용되나요?
A: 검사주기가 3개월인 제품을 7월 29일 최초 검사를 실시하였다면 10월 29일에 제조･가공한 제품에 대하여 추가로 자가품질검사를 실시하여야 합니다.
다만, 10월 29일 이후(10월 29일 포함) 해당 제품의 생산이 없다면 해당 기간 동안 추가로 자가품질검사를 실시하지 않아도 되고, 10월 29일 이후 제조･가공한 첫 제품에 대하여 자가품질검사를 실시하여야 합니다.
"	true	
자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?	"Q: 자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
A: 자가품질검사에서 정한 항목이 아닌 경우라도 부적합 판정을 받은 경우 부적합식품긴급 통보시스템으로 우선 통보한 후 부적합 항목이 회수대상인 경우 유통 제품에 대하여 회수･폐기 등 조치하여야 함"	true	
자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?	"Q: 자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
A: 자가품질검사에서 정한 항목이 아닌 경우라도 부적합 판정을 받은 경우 부적합식품긴급 통보시스템으로 우선 통보한 후 부적합 항목이 회수대상인 경우 유통 제품에 대하여 회수･폐기 등 조치하여야 함"	true	
자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?	"Q: 자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
A: 자가품질검사에서 정한 항목이 아닌 경우라도 부적합 판정을 받은 경우 부적합식품긴급 통보시스템으로 우선 통보한 후 부적합 항목이 회수대상인 경우 유통 제품에 대하여 회수･폐기 등 조치하여야 함"	true	
자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?	"Q: 자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
A: 자가품질검사에서 정한 항목이 아닌 경우라도 부적합 판정을 받은 경우 부적합식품긴급 통보시스템으로 우선 통보한 후 부적합 항목이 회수대상인 경우 유통 제품에 대하여 회수･폐기 등 조치하여야 함"	true	
자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?	"Q: 자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
A: 자가품질검사에서 정한 항목이 아닌 경우라도 부적합 판정을 받은 경우 부적합식품긴급 통보시스템으로 우선 통보한 후 부적합 항목이 회수대상인 경우 유통 제품에 대하여 회수･폐기 등 조치하여야 함"	true	
자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?	"Q: 자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
A: 자가품질검사에서 정한 항목이 아닌 경우라도 부적합 판정을 받은 경우 부적합식품긴급 통보시스템으로 우선 통보한 후 부적합 항목이 회수대상인 경우 유통 제품에 대하여 회수･폐기 등 조치하여야 함"	true	
식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?	"Q: 식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
A: 「식품의 기준 및 규격」에 따르면, 보존료는 데히드로초산나트륨, 소브산 및 그 염류(칼륨, 칼슘), 안식향산 및 그 염류(나트륨, 칼륨), 파라옥시안식향산류(메틸, 에틸), 프로피온산 및 그 염류(나트륨, 칼슘)를 포함합니다. 이들은 식품의 보존을 돕는 물질로 지정되어 있습니다."	true	
식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?	"Q: 식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
A: 「식품의 기준 및 규격」에 따르면, 보존료는 데히드로초산나트륨, 소브산 및 그 염류(칼륨, 칼슘), 안식향산 및 그 염류(나트륨, 칼륨), 파라옥시안식향산류(메틸, 에틸), 프로피온산 및 그 염류(나트륨, 칼슘)를 포함합니다. 이들은 식품의 보존을 돕는 물질로 지정되어 있습니다."	true	
식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?	"Q: 식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
A: 「식품의 기준 및 규격」에 따르면, 보존료는 데히드로초산나트륨, 소브산 및 그 염류(칼륨, 칼슘), 안식향산 및 그 염류(나트륨, 칼륨), 파라옥시안식향산류(메틸, 에틸), 프로피온산 및 그 염류(나트륨, 칼슘)를 포함합니다. 이들은 식품의 보존을 돕는 물질로 지정되어 있습니다."	true	
식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?	"Q: 식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
A: 「식품의 기준 및 규격」에 따르면, 보존료는 데히드로초산나트륨, 소브산 및 그 염류(칼륨, 칼슘), 안식향산 및 그 염류(나트륨, 칼륨), 파라옥시안식향산류(메틸, 에틸), 프로피온산 및 그 염류(나트륨, 칼슘)를 포함합니다. 이들은 식품의 보존을 돕는 물질로 지정되어 있습니다."	true	
식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?	"Q: 식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
A: 「식품의 기준 및 규격」에 따르면, 보존료는 데히드로초산나트륨, 소브산 및 그 염류(칼륨, 칼슘), 안식향산 및 그 염류(나트륨, 칼륨), 파라옥시안식향산류(메틸, 에틸), 프로피온산 및 그 염류(나트륨, 칼슘)를 포함합니다. 이들은 식품의 보존을 돕는 물질로 지정되어 있습니다."	true	
식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?	"Q: 식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
A: 「식품의 기준 및 규격」에 따르면, 보존료는 데히드로초산나트륨, 소브산 및 그 염류(칼륨, 칼슘), 안식향산 및 그 염류(나트륨, 칼륨), 파라옥시안식향산류(메틸, 에틸), 프로피온산 및 그 염류(나트륨, 칼슘)를 포함합니다. 이들은 식품의 보존을 돕는 물질로 지정되어 있습니다."	true	
자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?	"Q: 자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?
A: 업체가 자체적으로 수행하는 검사항목의 결과만 통합실험실정보관리시스템(LIMS)에 기록 관리해야 합니다. 위탁한 검사 결과는 해당 기관에서 관리합니다."	true	
자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?	"Q: 자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?
A: 업체가 자체적으로 수행하는 검사항목의 결과만 통합실험실정보관리시스템(LIMS)에 기록 관리해야 합니다. 위탁한 검사 결과는 해당 기관에서 관리합니다."	true	
자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?	"Q: 자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?
A: 업체가 자체적으로 수행하는 검사항목의 결과만 통합실험실정보관리시스템(LIMS)에 기록 관리해야 합니다. 위탁한 검사 결과는 해당 기관에서 관리합니다."	true	
자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?	"Q: 자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?
A: 업체가 자체적으로 수행하는 검사항목의 결과만 통합실험실정보관리시스템(LIMS)에 기록 관리해야 합니다. 위탁한 검사 결과는 해당 기관에서 관리합니다."	true	
자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?	"Q: 자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
A: 자체 시스템을 도입한 경우 그 시스템을 사용하면서도 LIMS는 활성 상태를 유지해야 합니다. LIMS에 6개월 이상 로그인이 없으면 계정이 휴면 상태로 전환되므로, 자가품질검사 기록을 2년간 유효하게 보관하기 위해 주기적으로 접속해야 합니다."	true	
자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?	"Q: 자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
A: 자체 시스템을 도입한 경우 그 시스템을 사용하면서도 LIMS는 활성 상태를 유지해야 합니다. LIMS에 6개월 이상 로그인이 없으면 계정이 휴면 상태로 전환되므로, 자가품질검사 기록을 2년간 유효하게 보관하기 위해 주기적으로 접속해야 합니다."	true	
자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?	"Q: 자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
A: 자체 시스템을 도입한 경우 그 시스템을 사용하면서도 LIMS는 활성 상태를 유지해야 합니다. LIMS에 6개월 이상 로그인이 없으면 계정이 휴면 상태로 전환되므로, 자가품질검사 기록을 2년간 유효하게 보관하기 위해 주기적으로 접속해야 합니다."	true	
